campaign_id,campaign_name,channel,start_date,end_date,budget
15,新客優惠_15,Google Ads,2024-01-15,2024-01-29,13627
39,長期租賃_39,官網,2024-01-28,2024-03-04,103530
13,夏季推廣_13,電話,2024-02-10,2024-03-21,32693
38,新客優惠_38,Google Ads,2024-02-10,2024-03-31,11998
5,居家照護_05,Google Ads,2024-02-22,2024-04-08,26198
26,夏季推廣_26,電話,2024-03-03,2024-04-12,96842
17,夏季推廣_17,Facebook Ads,2024-03-05,2024-04-24,31834
22,夏季推廣_22,Google Ads,2024-05-08,2024-05-26,21494
40,品牌曝光_40,Facebook Ads,2024-05-14,2024-07-05,38021
27,新客優惠_27,Google Ads,2024-05-18,2024-06-09,16776
14,新客優惠_14,Google Ads,2024-06-05,2024-07-23,23931
10,夏季推廣_10,官網,2024-07-06,2024-09-01,94044
8,春季推廣_08,Referral,2024-08-04,2024-09-23,42299
37,春季推廣_37,Facebook Ads,2024-08-18,2024-09-30,10663
33,長期租賃_33,Google Ads,2024-10-15,2024-11-29,13748
3,品牌曝光_03,官網,2024-12-03,2024-12-28,63827
21,居家照護_21,官網,2024-12-09,2024-12-23,45707
34,新客優惠_34,合作通路,2025-01-13,2025-03-06,127504
11,長期租賃_11,Google Ads,2025-01-14,2025-03-08,19789
30,居家照護_30,Google Ads,2025-01-26,2025-03-06,19474
32,居家照護_32,Google Ads,2025-02-22,2025-03-20,15530
25,夏季推廣_25,LINE,2025-04-16,2025-06-07,168376
36,冬季推廣_36,電話,2025-05-04,2025-05-21,43545
12,冬季推廣_12,合作通路,2025-05-07,2025-06-11,79080
28,冬季推廣_28,LINE,2025-05-13,2025-06-10,132787
20,品牌曝光_20,Facebook Ads,2025-06-04,2025-06-20,20230
29,新客優惠_29,LINE,2025-08-15,2025-09-12,167948
24,冬季推廣_24,Facebook Ads,2025-10-09,2025-11-05,40080
31,長期租賃_31,官網,2025-11-05,2025-12-30,88053
1,居家照護_01,Facebook Ads,2025-12-20,2026-01-11,11678
2,冬季推廣_02,合作通路,2026-01-18,2026-02-08,147930
9,冬季推廣_09,官網,2026-02-02,2026-03-22,73585
35,居家照護_35,合作通路,2026-02-11,2026-03-28,128098
6,秋季推廣_06,Google Ads,2026-03-02,2026-04-07,19914
16,新客優惠_16,Google Ads,2026-03-23,2026-05-10,26157
19,新客優惠_19,Facebook Ads,2026-04-18,2026-05-15,36105
18,冬季推廣_18,LINE,2026-05-06,2026-07-05,58047
4,長期租賃_04,LINE,2026-05-28,2026-07-14,102623
7,新客優惠_07,Google Ads,2026-07-10,2026-08-16,29541
23,夏季推廣_23,Facebook Ads,2026-09-30,2026-11-08,33776
